roll_number,document_type,title,file_name,file_url,status,remarks
CSE26A001,identity,Aadhaar Card,cse26a001-identity.pdf,https://files.scholaris.demo.edu/students/cse26a001-identity.pdf,verified,Clear copy verified
CSE26A001,marks_card,Class 12 Marks Card,cse26a001-marks_card.pdf,https://files.scholaris.demo.edu/students/cse26a001-marks_card.pdf,verified,Clear copy verified
CSE26A001,transfer_certificate,Transfer Certificate,cse26a001-transfer_certificate.pdf,https://files.scholaris.demo.edu/students/cse26a001-transfer_certificate.pdf,verified,Clear copy verified
CSE26B002,identity,Aadhaar Card,cse26b002-identity.pdf,https://files.scholaris.demo.edu/students/cse26b002-identity.pdf,verified,Clear copy verified
CSE26B002,marks_card,Class 12 Marks Card,cse26b002-marks_card.pdf,https://files.scholaris.demo.edu/students/cse26b002-marks_card.pdf,verified,Clear copy verified
CSE26A003,identity,Aadhaar Card,cse26a003-identity.pdf,https://files.scholaris.demo.edu/students/cse26a003-identity.pdf,verified,Clear copy verified
CSE26A003,marks_card,Class 12 Marks Card,cse26a003-marks_card.pdf,https://files.scholaris.demo.edu/students/cse26a003-marks_card.pdf,verified,Clear copy verified
CSE26A003,transfer_certificate,Transfer Certificate,cse26a003-transfer_certificate.pdf,https://files.scholaris.demo.edu/students/cse26a003-transfer_certificate.pdf,verified,Clear copy verified
CSE26B004,identity,Aadhaar Card,cse26b004-identity.pdf,https://files.scholaris.demo.edu/students/cse26b004-identity.pdf,verified,Clear copy verified
CSE26B004,marks_card,Class 12 Marks Card,cse26b004-marks_card.pdf,https://files.scholaris.demo.edu/students/cse26b004-marks_card.pdf,verified,Clear copy verified
AIML26A005,identity,Aadhaar Card,aiml26a005-identity.pdf,https://files.scholaris.demo.edu/students/aiml26a005-identity.pdf,pending,Verification pending
AIML26A005,marks_card,Class 12 Marks Card,aiml26a005-marks_card.pdf,https://files.scholaris.demo.edu/students/aiml26a005-marks_card.pdf,pending,Verification pending
AIML26A005,transfer_certificate,Transfer Certificate,aiml26a005-transfer_certificate.pdf,https://files.scholaris.demo.edu/students/aiml26a005-transfer_certificate.pdf,pending,Verification pending
AIML26B006,identity,Aadhaar Card,aiml26b006-identity.pdf,https://files.scholaris.demo.edu/students/aiml26b006-identity.pdf,verified,Clear copy verified
AIML26B006,marks_card,Class 12 Marks Card,aiml26b006-marks_card.pdf,https://files.scholaris.demo.edu/students/aiml26b006-marks_card.pdf,verified,Clear copy verified
AIML26A007,identity,Aadhaar Card,aiml26a007-identity.pdf,https://files.scholaris.demo.edu/students/aiml26a007-identity.pdf,verified,Clear copy verified
AIML26A007,marks_card,Class 12 Marks Card,aiml26a007-marks_card.pdf,https://files.scholaris.demo.edu/students/aiml26a007-marks_card.pdf,verified,Clear copy verified
AIML26A007,transfer_certificate,Transfer Certificate,aiml26a007-transfer_certificate.pdf,https://files.scholaris.demo.edu/students/aiml26a007-transfer_certificate.pdf,verified,Clear copy verified
AIML26B008,identity,Aadhaar Card,aiml26b008-identity.pdf,https://files.scholaris.demo.edu/students/aiml26b008-identity.pdf,verified,Clear copy verified
AIML26B008,marks_card,Class 12 Marks Card,aiml26b008-marks_card.pdf,https://files.scholaris.demo.edu/students/aiml26b008-marks_card.pdf,verified,Clear copy verified
ECE26A009,identity,Aadhaar Card,ece26a009-identity.pdf,https://files.scholaris.demo.edu/students/ece26a009-identity.pdf,verified,Clear copy verified
ECE26A009,marks_card,Class 12 Marks Card,ece26a009-marks_card.pdf,https://files.scholaris.demo.edu/students/ece26a009-marks_card.pdf,verified,Clear copy verified
ECE26A009,transfer_certificate,Transfer Certificate,ece26a009-transfer_certificate.pdf,https://files.scholaris.demo.edu/students/ece26a009-transfer_certificate.pdf,verified,Clear copy verified
ECE26B010,identity,Aadhaar Card,ece26b010-identity.pdf,https://files.scholaris.demo.edu/students/ece26b010-identity.pdf,pending,Verification pending
ECE26B010,marks_card,Class 12 Marks Card,ece26b010-marks_card.pdf,https://files.scholaris.demo.edu/students/ece26b010-marks_card.pdf,pending,Verification pending
ECE26A011,identity,Aadhaar Card,ece26a011-identity.pdf,https://files.scholaris.demo.edu/students/ece26a011-identity.pdf,verified,Clear copy verified
ECE26A011,marks_card,Class 12 Marks Card,ece26a011-marks_card.pdf,https://files.scholaris.demo.edu/students/ece26a011-marks_card.pdf,verified,Clear copy verified
ECE26A011,transfer_certificate,Transfer Certificate,ece26a011-transfer_certificate.pdf,https://files.scholaris.demo.edu/students/ece26a011-transfer_certificate.pdf,verified,Clear copy verified
ECE26B012,identity,Aadhaar Card,ece26b012-identity.pdf,https://files.scholaris.demo.edu/students/ece26b012-identity.pdf,verified,Clear copy verified
ECE26B012,marks_card,Class 12 Marks Card,ece26b012-marks_card.pdf,https://files.scholaris.demo.edu/students/ece26b012-marks_card.pdf,verified,Clear copy verified
MECH26A013,identity,Aadhaar Card,mech26a013-identity.pdf,https://files.scholaris.demo.edu/students/mech26a013-identity.pdf,verified,Clear copy verified
MECH26A013,marks_card,Class 12 Marks Card,mech26a013-marks_card.pdf,https://files.scholaris.demo.edu/students/mech26a013-marks_card.pdf,verified,Clear copy verified
MECH26A013,transfer_certificate,Transfer Certificate,mech26a013-transfer_certificate.pdf,https://files.scholaris.demo.edu/students/mech26a013-transfer_certificate.pdf,verified,Clear copy verified
MECH26B014,identity,Aadhaar Card,mech26b014-identity.pdf,https://files.scholaris.demo.edu/students/mech26b014-identity.pdf,verified,Clear copy verified
MECH26B014,marks_card,Class 12 Marks Card,mech26b014-marks_card.pdf,https://files.scholaris.demo.edu/students/mech26b014-marks_card.pdf,verified,Clear copy verified
MECH26A015,identity,Aadhaar Card,mech26a015-identity.pdf,https://files.scholaris.demo.edu/students/mech26a015-identity.pdf,pending,Verification pending
MECH26A015,marks_card,Class 12 Marks Card,mech26a015-marks_card.pdf,https://files.scholaris.demo.edu/students/mech26a015-marks_card.pdf,pending,Verification pending
